datum,mesto,naslov,sifra_umetnika
2015-09-06,2,Beautiful Liar,
2015-09-06,3,Let’s Not Fall In Love,277428
2015-09-06,4,So My Heart Pounds,403998
2015-09-06,5,I Feel You,233357
2015-09-06,6,Sweet Girl,235173
2015-09-06,7,Wiing Wiing,238506
2015-09-06,8,Simon Dominic,235698
2015-09-06,9,Shake It,234669
2015-09-06,10,PARTY,233414
2015-09-13,1,Lion Heart,233414
2015-09-13,2,So My Heart Pounds,403998
2015-09-13,3,Let’s Not Fall In Love,277428
2015-09-13,4,Because I'm The Best (Feat. Jung Il-hoon Of BTOB),399205
2015-09-13,5,Beautiful Liar,
2015-09-13,6,Wiing Wiing,238506
2015-09-13,7,I Feel You,233357
2015-09-13,8,PARTY,233414
2015-09-13,9,Shake It,234669
2015-09-13,10,Simon Dominic,235698
2015-09-20,1,Lion Heart,233414
2015-09-20,2,So My Heart Pounds,403998
2015-09-20,3,Let’s Not Fall In Love,277428
2015-09-20,4,Wiing Wiing,238506
2015-09-20,5,Me Gustas Tu,357139
2015-09-20,6,PARTY,233414
2015-09-20,7,BANG BANG BANG,277428
2015-09-20,8,Because I,399205
2015-09-20,9,I Feel You,233357
2015-09-20,10,Sweet Girl,235173
2015-09-27,1,Lion Heart,233414
2015-09-27,2,Dumb Dumb,354121
2015-09-27,3,RUSH,351688
2015-09-27,4,Me Gustas Tu,357139
2015-09-27,5,So My Heart Pounds,403998
2015-09-27,6,Wow Wow Wow (Feat. Eric),233332
2015-09-27,7,Let’s Not Fall In Love,277428
2015-09-27,8,PARTY,233414
2015-09-27,9,Wiing Wiing,238506
2015-09-27,10,Because I'm The Best (Feat. Jung Il-hoon Of BTOB),399205
2015-10-11,1,Cinderella,234452
2015-10-11,2,바람이나 좀 쐐 (Feat. MIWOO),238781
2015-10-11,3,Lean On Me,
2015-10-11,4,Love Again,393964
2015-10-11,5,My Type,
2015-10-11,6,Lion Heart,233414
2015-10-11,7,Ordinary Love (Feat. Park Boram),238805
2015-10-11,8,Dumb Dumb,354121
2015-10-11,9,Coffee,
2015-10-11,10,Me Gustas Tu,357139
2015-10-18,1,Love Again,393964
2015-10-18,2,Lean On Me,
2015-10-18,3,Get Some Air,238781
2015-10-18,4,If You Do,348434
2015-10-18,5,My Type,
2015-10-18,6,Mind Your Own Business,235488
2015-10-18,7,Lion Heart,233414
2015-10-18,8,Ordinary Love (Feat. Park Boram),238805
2015-10-18,9,Dumb Dumb,354121
2015-10-18,10,Coffee,
2015-10-25,1,I (Feat. Verbal Jint),361999
2015-10-25,2,Love Again,393964
2015-10-25,3,My Type,
2015-10-25,4,Lean On Me,
2015-10-25,5,Mind Your Own Business,235488
2015-10-25,6,Get Some Air,238781
2015-10-25,7,Lion Heart,233414
2015-10-25,8,Dumb Dumb,354121
2015-10-25,9,U R,361999
2015-10-25,10,Ah-Choo,354644
2015-11-01,1,I (Feat. Verbal Jint),361999
2015-11-01,2,Love Again,393964
2015-11-01,3,No Make Up,236472
2015-11-01,4,Way Back Home,343790
2015-11-01,5,Lean On Me,
2015-11-01,6,My Type,
2015-11-01,7,U R,361999
2015-11-01,8,A Million Pieces,386080
2015-11-01,9,Get Some Air,238781
2015-11-01,10,Mind Your Own Business,235488
2015-11-08,1,I (Feat. Verbal Jint),361999
2015-11-08,2,Love Again,393964
2015-11-08,3,23,350612
2015-11-08,4,Yesterday,235976
2015-11-08,5,No Make Up,236472
2015-11-08,6,A Million Pieces,386080
2015-11-08,7,The Shower,350612
2015-11-08,8,My Type,
2015-11-08,9,Way Back Home,343790
2015-11-08,10,U R,361999
2015-11-15,1,4 Walls,234238
2015-11-15,2,23,350612
2015-11-15,3,I (Feat. Verbal Jint),361999
2015-11-15,4,Love Again,393964
2015-11-15,5,The Shower,350612
2015-11-15,6,No Make Up,236472
2015-11-15,7,A Million Pieces,386080
2015-11-15,8,OOH-AHH하게,364940
2015-11-15,9,U R,361999
2015-11-15,10,My Type,
2015-11-22,1,4 Walls,234238
2015-11-22,2,Love Again,393964
2015-11-22,3,23,350612
2015-11-22,4,I (Feat. Verbal Jint),361999
2015-11-22,5,The Shower,350612
2015-11-22,6,OOH-AHH하게,364940
2015-11-22,7,No Make Up,236472
2015-11-22,8,My Type,
2015-11-22,9,A Million Pieces,386080
2015-11-22,10,Brave New World,233287
2015-11-29,1,Chained Up,
2015-11-29,2,Love Again,393964
2015-11-29,3,23,350612
2015-11-29,4,I (Feat. Verbal Jint),361999
2015-11-29,5,4 Walls,234238
2015-11-29,6,Hug Me,234527
2015-11-29,7,My Type,
2015-11-29,8,No Make Up,236472
2015-11-29,9,OOH-AHH하게,364940
2015-11-29,10,Brave New World,233287
2015-12-06,1,"Young, Wild & Free",235470
2015-12-06,2,Jam,232820
2015-12-06,3,Love Again,393964
2015-12-06,4,Insensible,238779
2015-12-06,5,Chained Up,
2015-12-06,6,I (Feat. Verbal Jint),361999
2015-12-06,7,Sour Grapes,
2015-12-06,8,23,350612
2015-12-06,9,HOT PINK,235496
2015-12-06,10,APOLOGY,
2015-12-13,1,Insensible,238779
2015-12-13,2,Love Again,393964
2015-12-13,3,HOT PINK,235496
2015-12-13,4,Sour Grapes,
2015-12-13,5,Chained Up,
2015-12-13,6,OOH-AHH하게,364940
2015-12-13,7,I (Feat. Verbal Jint),361999
2015-12-13,8,Jam,232820
2015-12-13,9,"Young, Wild & Free",235470
2015-12-13,10,23,350612
2015-12-20,1,RUN,347972
2015-12-20,2,DADDY (Feat. CL of 2NE1),232588
2015-12-20,3,Napal Baji,232588
2015-12-20,4,Love Again,393964
2015-12-20,5,Dear Santa,235872
2015-12-20,6,HOT PINK,235496
2015-12-20,7,Crossing Space,360792
2015-12-20,8,I (Feat. Verbal Jint),361999
2015-12-20,9,Sour Grapes,
2015-12-20,10,In The End,375926
2015-12-27,1,Sing For You,352301
2015-12-27,2,DADDY (Feat. CL of 2NE1),232588
2015-12-27,3,Dear Santa,235872
2015-12-27,4,Napal Baji,232588
2015-12-27,5,Eureka,344897
2015-12-27,6,Melody of the Night,232771
2015-12-27,7,RUN,347972
2015-12-27,8,Love Again,393964
2015-12-27,9,Crossing Space,360792
2015-12-27,10,HOT PINK,235496
2016-01-03,1,Sing For You,352301
2016-01-03,2,DADDY (Feat. CL of 2NE1),232588
2016-01-03,3,사랑이 맞을거야,232559
2016-01-03,4,Napal Baji,232588
2016-01-03,5,RUN,347972
2016-01-03,6,Dear Santa,235872
